Title,Year,Genre,Age_Rating,Runtime,Director,Stars,Plot_Synopsis,IMDb_Rating,Metascore
Poor Things,2023,Comedy/Drama/Romance,R,2h 21m,Yorgos Lanthimos,Emma Stone/Mark Ruffalo/Willem Dafoe,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",7.9,88
Fly Me to the Moon,,Comedy/Romance,R,,Greg Berlanti,Scarlett Johansson/Channing Tatum/Woody Harrelson,"Marketing maven Kelly Jones wreaks havoc on launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, Jones is directed to stage a fa... Read all",,
Dune,2021,Action/Adventure/Drama,PG-13,2h 35m,Denis Villeneuve,Timothée Chalamet/Rebecca Ferguson/Zendaya,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,8.0,74
Kung Fu Panda 4,2024,Animation/Action/Adventure,PG,1h 34m,Mike Mitchell,Jack Black/Awkwafina/Viola Davis,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains... Read all",6.4,54
Speak No Evil,,Drama/Horror/Thriller,R,,James Watkins,James McAvoy/Aisling Franciosi/Dan Hough,"A family invited to spend a weekend in an idyllic country house, goes from a dream vacation to a psychological nightmare.",,
Ghostbusters: Frozen Empire,2024,Adventure/Comedy/Fantasy,PG-13,1h 55m,Gil Kenan,Paul Rudd/Carrie Coon/Finn Wolfhard,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.",6.4,46
Oppenheimer,2023,Biography/Drama/History,R,3h,Christopher Nolan,Cillian Murphy/Emily Blunt/Matt Damon,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,8.3,90
Fabbricante di lacrime,2024,Drama/Fantasy/Romance,TV-MA,1h 43m,Alessandro Genovesi,Simone Baldasseroni/Caterina Ferioli/Sabrina Paravicini,Sometimes our greatest fear is accepting that someone can honestly love us for who we are. Nica and Rigel are ready to find it out together.,5.2,
Argylle,2024,Action/Comedy/Thriller,PG-13,2h 19m,Matthew Vaughn,Henry Cavill/Bryce Dallas Howard/Sam Rockwell,"A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes the plot of the new book she's writing starts to mirror real-world events, in real tim... Read all",5.7,35
MaXXXine,2024,Crime/Horror,R,1h 43m,Ti West,Mia Goth/Elizabeth Debicki/Moses Sumney,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to re... Read all",,
The Zone of Interest,2023,Drama/History/War,PG-13,1h 45m,Jonathan Glazer,Christian Friedel/Sandra Hüller/Johann Karthaus,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.,7.5,92
The Gentlemen,2019,Action/Crime,R,1h 53m,Guy Ritchie,Matthew McConaughey/Charlie Hunnam/Michelle Dockery,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",7.8,51
Challengers,2024,Drama/Romance/Sport,R,2h 11m,Luca Guadagnino,Zendaya/Mike Faist/Josh O'Connor,"Tashi, a former tennis prodigy turned coach is married to a champion on a losing streak. Her strategy for her husband's redemption takes a surprising turn when he must face off against his f... Read all",,88
The Ministry of Ungentlemanly Warfare,2024,Action/Drama/War,R,2h,Guy Ritchie,Henry Cavill/Alan Ritchson/Alex Pettyfer,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,7.4,57
Sleeping Dogs,2024,Crime/Mystery/Thriller,R,1h 50m,Adam Cooper,Russell Crowe/Karen Gillan/Marton Csokas,"An ex-homicide detective with memory loss is forced to solve a brutal murder, only to uncover chilling secrets from his forgotten past.",6.0,43
The Talented Mr. Ripley,1999,Crime/Drama/Thriller,R,2h 19m,Anthony Minghella,Matt Damon/Gwyneth Paltrow/Jude Law,"In late 1950s New York, a young underachiever named Tom Ripley is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes ... Read all",7.4,76
Anyone But You,2023,Comedy/Romance,R,1h 43m,Will Gluck,Sydney Sweeney/Glen Powell/Alexandra Shipp,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults ... Read all",6.2,52
Road House,1989,Action/Thriller,R,1h 54m,Rowdy Herrington,Patrick Swayze/Kelly Lynch/Sam Elliott,"A bouncer hired to clean up the baddest honkytonk in a Missouri town. Armed with a black belt in karate and a degree in philosophy, Patrick Swayze sets out to tame the Double Deuce for its o... Read all",6.7,36
Back to Black,2024,Biography/Drama/Music,R,2h 2m,Sam Taylor-Johnson,Marisa Abela/Eddie Marsan/Jack O'Connell,"The life and music of Amy Winehouse, through the journey of adolescence to adulthood and the creation of one of the best-selling albums of our time.",6.7,50
The Little Things,2021,Crime/Drama/Mystery,R,2h 8m,John Lee Hancock,Denzel Washington/Rami Malek/Jared Leto,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer ... Read all",6.3,54
Kingdom of the Planet of the Apes,2024,Action/Adventure/Sci-Fi,PG-13,2h 25m,Wes Ball,Freya Allan/Kevin Durand/Dichen Lachman,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for a... Read all",,
Megalopolis,,Drama/Sci-Fi,PG-13,,Francis Ford Coppola,Giancarlo Esposito/Aubrey Plaza/Nathalie Emmanuel,An architect wants to rebuild New York City as a utopia following a devastating disaster.,,
Wicked Little Letters,2023,Comedy/Crime/Drama,R,1h 40m,Thea Sharrock,Jessie Buckley/Olivia Colman/Timothy Spall,"When people in Littlehampton--including conservative local Edith--begin to receive letters full of hilarious profanities, rowdy Irish migrant Rose is charged with the crime. Suspecting that ... Read all",7.0,58
X,2022,Horror/Mystery/Thriller,R,1h 45m,Ti West,Mia Goth/Jenna Ortega/Brittany Snow,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their ... Read all",6.5,80
Late Night with the Devil,2023,Horror,R,1h 33m,Cameron Cairnes,David Dastmalchian/Laura Gordon/Ian Bliss,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",7.4,72
Love Lies Bleeding,2024,Action/Adventure/Crime,R,1h 44m,Rose Glass,Anna Baryshnikov/Kristen Stewart/Dave Franco,"Gym manager Lou falls for Jackie, a bodybuilder who is passing through town en route to a competition in Las Vegas.",7.3,76
Baghead,,Horror,1h 34m,,Alberto Corredor,Freya Allan/Jeremy Irvine/Ruby Barker,"A young woman inherits a run-down pub and discovers a dark secret within its basement - Baghead - a shape-shifting creature that will let you speak to lost loved ones, but not without conseq... Read all",5.4,51
Dune,1984,Action/Adventure/Sci-Fi,PG-13,2h 17m,David Lynch,Kyle MacLachlan/Virginia Madsen/Francesca Annis,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,6.3,41
Anatomie d'une chute,2023,Crime/Drama/Thriller,R,2h 31m,Justine Triet,Sandra Hüller/Swann Arlaud/Milo Machado-Graner,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.,7.7,86
Damsel,2024,Action/Adventure/Fantasy,PG-13,1h 50m,Juan Carlos Fresnadillo,Millie Bobby Brown/Ray Winstone/Angela Bassett,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt.",6.1,46
Glass,2019,Drama/Horror/Sci-Fi,PG-13,2h 9m,M. Night Shyamalan,James McAvoy/Bruce Willis/Samuel L. Jackson,"Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.",6.6,43
Immaculate,2024,Horror,R,1h 29m,Michael Mohan,Sydney Sweeney/Álvaro Morte/Simona Tabasco,"Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia tha... Read all",6.1,57
Knox Goes Away,2023,Thriller,R,1h 54m,Michael Keaton,Michael Keaton/Ray McKinnon/Cassie Moronez,"When a contract killer has a rapidly evolving form of dementia, he is offered an opportunity to redeem himself by saving the life of his estranged adult son.",6.9,54
The Fall Guy,2024,Action/Comedy/Drama,PG-13,2h 6m,David Leitch,Ryan Gosling/Emily Blunt/Aaron Taylor-Johnson,A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.,7.4,77
Wonka,2023,Adventure/Comedy/Family,PG,1h 56m,Paul King,Timothée Chalamet/Gustave Die/Murray McArthur,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.",7.0,66
Split,2016,Horror/Thriller,PG-13,1h 57m,M. Night Shyamalan,James McAvoy/Anya Taylor-Joy/Haley Lu Richardson,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,7.3,63
Joker,2019,Crime/Drama/Thriller,R,2h 2m,Todd Phillips,Joaquin Phoenix/Robert De Niro/Zazie Beetz,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",8.4,59
The Godfather,1972,Crime/Drama,R,2h 55m,Francis Ford Coppola,Marlon Brando/Al Pacino/James Caan,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,9.2,100
Furiosa: A Mad Max Saga,,Action/Adventure/Sci-Fi,R,,George Miller,Anya Taylor-Joy/Chris Hemsworth/Charlee Fraser,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,,
Speak No Evil,2022,Drama/Horror/Thriller,Not Rated,1h 37m,Christian Tafdrup,Morten Burian/Sidsel Siem Koch/Fedja van Huêt,A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness... Read all,6.6,78
The Beekeeper,2024,Action/Thriller,R,1h 45m,David Ayer,Jason Statham/Emmy Raver-Lampman/Bobby Naderi,"One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers.""",6.4,54
Maidaan,,Biography/Drama/History,3h 1m,,Amit Ravindernath Sharma,Ajay Devgn/Priyamani/Gajraj Rao,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football.",8.8,
Interstellar,2014,Adventure/Drama/Sci-Fi,PG-13,2h 49m,Christopher Nolan,Matthew McConaughey/Anne Hathaway/Jessica Chastain,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",8.7,74
Ricky Stanicky,2024,Comedy,R,1h 53m,Peter Farrelly,Zac Efron/John Cena/Andrew Santino,"When three childhood best friends pull a prank that goes wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, they still use the nonexistent Ricky ... Read all",6.2,44
Crew,,Comedy/Drama,1h 58m,,Rajesh A Krishnan,Tabu/Kareena Kapoor/Kriti Sanon,Follows three hard-working women as their destinies lead to some unwarranted situations and they end up caught in a web of lies.,7.6,
IF,,Comedy/Drama/Family,1h 58m,,John Krasinski,Ryan Reynolds/John Krasinski/Cailey Fleming,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,,
The Iron Claw,2023,Biography/Drama/Sport,R,2h 12m,Sean Durkin,Zac Efron/Jeremy Allen White/Harris Dickinson,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.",7.7,73
Bade Miyan Chote Miyan,,Action/Sci-Fi/Thriller,2h 43m,,Ali Abbas Zafar,Akshay Kumar/Prithviraj Sukumaran/Alaya F,"With their contrasting personalities and maverick methods, Bade Miyan and Chote Miyan need to overcome their differences and labor together to transport the offenders to impartiality and pre... Read all",7.7,
Barbie,2023,Adventure/Comedy/Fantasy,PG-13,1h 54m,Greta Gerwig,Margot Robbie/Ryan Gosling/Issa Rae,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the ... Read all",6.8,80
How to Date Billy Walsh,,Comedy/Romance,1h 38m,,Alex Pillai,Charithra Chandran/Sebastian Croft/Tanner Buchanan,"Follows a pair of childhood friends: Amelia and Archie. Archie has always kept his love for her a secret, but just as he builds up the courage to declare his feelings, Amelia falls for Billy... Read all",5.5,
Madame Web,2024,Action/Adventure/Sci-Fi,PG-13,1h 56m,S.J. Clarkson,Dakota Johnson/Sydney Sweeney/Isabela Merced,"Cassandra Webb is a New York metropolis paramedic who begins to demonstrate signs of clairvoyance. Forced to challenge revelations about her past, she needs to safeguard three young women fr... Read all",3.8,26
Arcadian,2024,Action/Horror/Thriller,R,1h 32m,Benjamin Brewer,Nicolas Cage/Jaeden Martell/Maxwell Jenkins,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.,6.3,60
Saltburn,2023,Drama/Thriller,R,2h 11m,Emerald Fennell,Barry Keoghan/Jacob Elordi/Rosamund Pike,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to b... Read all",7.0,61
Pearl,2022,Drama/Horror/Thriller,R,1h 43m,Ti West,Mia Goth/David Corenswet/Tandi Wright,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation, and lovelessness of life on her parents' farm.",7.0,76
Cuckoo,2024,Horror/Mystery/Thriller,R,1h 42m,Tilman Singer,Hunter Schafer/Dan Stevens/Marton Csokas,A 17-year old girl is forced to move with her family to a resort where things are not what they seem.,5.7,58
Someone Like You,2024,Romance,PG,1h 58m,Tyler Russell,Sarah Fisher/Jake Allyn/Lynn Collins,"Based on the novel by #1 NYTimes bestselling author Karen Kingsbury, ""Someone Like You"" is an achingly beautiful love story. After the tragic loss of his best friend, a grieving young archit... Read all",6.8,
Rebel Moon - Part One: A Child of Fire,2023,Action/Adventure/Drama,PG-13,2h 13m,Zack Snyder,Sofia Boutella/Djimon Hounsou/Ed Skrein,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their be... Read all",5.6,31
Ghostbusters: Afterlife,2021,Adventure/Comedy/Fantasy,PG-13,2h 4m,Jason Reitman,Carrie Coon/Paul Rudd/Finn Wolfhard,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",7.0,45
Land of Bad,2024,Action/Thriller,R,1h 53m,William Eubank,Liam Hemsworth/Russell Crowe/Luke Hemsworth,A US Army special forces unit is ambushed during a mission to retrieve an intelligence asset and their only remaining hope lies with a remote Air Force drone operator assisting them through ... Read all,6.5,57
Miller's Girl,2024,Comedy/Drama,R,1h 33m,Jade Halley Bartlett,Martin Freeman/Jenna Ortega/Bashir Salahuddin,A creative writing assignment yields complex results between a teacher and his talented student.,5.2,41
Baby Driver,2017,Action/Crime/Drama,R,1h 53m,Edgar Wright,Ansel Elgort/Jon Bernthal/Jon Hamm,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",7.5,86
American Fiction,2023,Comedy/Drama,R,1h 57m,Cord Jefferson,Jeffrey Wright/Tracee Ellis Ross/John Ortiz,A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to di... Read all,7.5,81
Gladiator 2,,Action/Adventure/Drama,R,,Ridley Scott,Denzel Washington/Pedro Pascal/Paul Mescal,"Follows Lucius, the son of Maximus's love Lucilla, after Maximus's death.",,
Deadpool & Wolverine,,Action/Comedy/Sci-Fi,R,,Shawn Levy,Ryan Reynolds/Hugh Jackman/Emma Corrin,"Wolverine is recovering from his injuries when he crosses paths with the loudmouth, Deadpool. They team up to defeat a common enemy.",,
The Shawshank Redemption,1994,Drama,R,2h 22m,Frank Darabont,Tim Robbins/Morgan Freeman/Bob Gunton,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",9.3,82
Damaged,2024,Action/Crime/Drama,R,1h 37m,Terry McDonough,Samuel L. Jackson/Vincent Cassel/Gianni Capaldi,"Dan Lawson (Jackson), a Chicago detective, travels to Scotland to link up with Scottish Det. Boyd (Capaldi), following the resurgence of a serial killer who's crimes match an unsolved case t... Read all",4.5,
The Bricklayer,2023,Action/Thriller,R,1h 50m,Renny Harlin,Aaron Eckhart/Nina Dobrev/Clifton Collins Jr.,An ex-CIA agent is reactivated when an extortionist targets the agency.,5.1,
Gojira -1.0,2023,Action/Adventure/Drama,PG-13,2h 4m,Takashi Yamazaki,Minami Hamabe/Sakura Andô/Ryunosuke Kamiki,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",8.3,81
Amar Singh Chamkila,2024,Biography/Drama/Music,TV-MA,2h 25m,Imtiaz Ali,Diljit Dosanjh/Parineeti Chopra/Apinderdeep Singh,"Follows the life of pop star duo Amar Singh Chamkila and Amarjot Kaur, whose songs that were social commentaries or devotionals became massive hits in the 80's.",8.2,
Ghostbusters,1984,Action/Comedy/Fantasy,PG,1h 45m,Ivan Reitman,Bill Murray/Dan Aykroyd/Sigourney Weaver,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",7.8,71
Godzilla vs. Kong,2021,Action/Sci-Fi/Thriller,PG-13,1h 53m,Adam Wingard,Alexander Skarsgård/Millie Bobby Brown/Rebecca Hall,The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caug... Read all,6.3,59
All of Us Strangers,2023,Drama/Fantasy/Romance,R,1h 45m,Andrew Haigh,Andrew Scott/Paul Mescal/Carter John Grout,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 ye... Read all,7.7,90
Beetlejuice Beetlejuice,,Comedy/Fantasy/Horror,R,,Tim Burton,Jenna Ortega/Michael Keaton/Monica Bellucci,"This is a follow-up to the comedy Beetlejuice (1988), about a ghost who's recruited to help haunt a house.",,
The Omen,1976,Horror/Mystery,R,1h 51m,Richard Donner,Gregory Peck/Lee Remick/Harvey Stephens,Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?,7.5,62
Killers of the Flower Moon,2023,Crime/Drama/History,R,3h 26m,Martin Scorsese,Leonardo DiCaprio/Robert De Niro/Lily Gladstone,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",7.6,89
The Hunger Games: The Ballad of Songbirds & Snakes,2023,Action/Adventure/Drama,PG-13,2h 37m,Francis Lawrence,Rachel Zegler/Tom Blyth/Viola Davis,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,6.8,54
The Holdovers,2023,Comedy/Drama,R,2h 13m,Alexander Payne,Paul Giamatti/Da'Vine Joy Randolph/Dominic Sessa,A cranky history teacher at a prep school is forced to remain on campus over the holidays with a grieving cook and a troubled student who has no place to go.,7.9,82
Alien: Romulus,,Horror/Sci-Fi,R,,Fede Alvarez,Cailee Spaeny/Isabela Merced/Archie Renaux,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",,
Perfect Days,2023,Drama,PG,2h 4m,Wim Wenders,Koji Yakusho/Tokio Emoto/Arisa Nakano,"Hirayama cleans public toilets in Tokyo, lives his life in simplicity and daily tranquility. Some encounters also lead him to reflect on himself.",7.9,80
Mean Girls,2024,Comedy/Musical,PG-13,1h 52m,Samantha Jayne,Angourie Rice/Reneé Rapp/Auli'i Cravalho,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plas... Read all",5.7,58
Kinds of Kindness,,Comedy/Drama,PG-13,,Yorgos Lanthimos,Emma Stone/Jesse Plemons/Willem Dafoe,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning and a woman's quest to locate an extraordinary individual... Read all",,
Lisa Frankenstein,2024,Comedy/Horror/Romance,PG-13,1h 41m,Zelda Williams,Kathryn Newton/Liza Soberano/Jenna Davis,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love... Read all",6.1,47
Happy Gilmore,1996,Comedy/Sport,PG-13,1h 32m,Dennis Dugan,Adam Sandler/Christopher McDonald/Julie Bowen,"After his grandmothers house is repossessed by the IRS, bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back.",7.0,31
Night Swim,2024,Horror/Thriller,PG-13,1h 38m,Bryce McGuire,Wyatt Russell/Kerry Condon/Amélie Hoeferle,"A family moves into a new home, unaware that a dark secret from the house's past will unleash a malevolent force in the backyard pool.",4.7,43
The American Society of Magical Negroes,2024,Comedy/Fantasy,PG-13,1h 44m,Kobi Libii,Justice Smith/Zachary Barton/Anthony Coons,"A young man, Aren, is recruited into a secret society of magical Black people who dedicate their lives to a cause of utmost importance: making white people's lives easier.",2.8,52
Música,2024,Comedy/Music/Romance,PG-13,1h 31m,Rudy Mancuso,Rudy Mancuso/Camila Mendes/Francesca Reale,"A coming-of-age love story that follows an aspiring creator with synesthesia, who must come to terms with an uncertain future, while navigating the pressures of love, family, and his Brazili... Read all",6.5,74
Snack Shack,2024,Comedy,R,1h 52m,Adam Rehmeier,Conor Sherry/Gabriel LaBelle/Mika Abdalla,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance.",7.0,64
The Time Travelers,1964,Sci-Fi,Approved,1h 24m,Ib Melchior,Preston Foster/Philip Carey/Merry Anders,"In 1964, a group of scientists create a portal that takes them to a barren, mutant inhabited, Earth in the year 2071.",5.2,
Top Gun: Maverick,2022,Action/Drama,PG-13,2h 10m,Joseph Kosinski,Tom Cruise/Jennifer Connelly/Miles Teller,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ... Read all",8.2,78
Breathe,2024,Action/Thriller,PG-13,1h 33m,Stefon Bristol,Jennifer Hudson/Milla Jovovich/Quvenzhané Wallis,"An East Flatbush mother and daughter, barely surviving in an oxygen-less world, must band together to protect each other when intruders arrive claiming to know their missing father.",3.6,
